url,nombre,descripcion,marca,anio,genero,top_notes,middle_notes,base_notes,accords,rating,votes,error
https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-33519.html,Baccarat Rouge 540 Maison Francis Kurkdjian for women and men,"Baccarat Rouge 540 by Maison Francis Kurkdjian is a Oriental Floral fragrance for women and men. Baccarat Rouge 540 was launched in 2015. The nose behind this fragrance is Francis Kurkdjian. Top notes are Saffron and Jasmine; middle notes are Amberwood, Ambergris and Hedione; base notes are Fir Resin, Cedar, Sugar, Ambroxan and Oakmoss.",Maison Francis Kurkdjian,2015,women and men,Saffron and Jasmine,"Amberwood, Ambergris and Hedione","Fir Resin, Cedar, Sugar, Ambroxan and Oakmoss",woody | amber | warm spicy | metallic | fresh spicy | aromatic | white floral | animalic | fresh | Skip Ad,7.97,27875,
https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Grand-Soir-40816.html,Grand Soir Maison Francis Kurkdjian for women and men,"Grand Soir by Maison Francis Kurkdjian is a Oriental fragrance for women and men. Grand Soir was launched in 2016. The nose behind this fragrance is Francis Kurkdjian. Top notes are Spanish Labdanum and Orange; middle notes are Lavender and Siam Benzoin; base notes are Amber, Vanilla, Tonka Bean, Musk and Cedar.",Maison Francis Kurkdjian,2016,women and men,Spanish Labdanum and Orange,Lavender and Siam Benzoin,"Amber, Vanilla, Tonka Bean, Musk and Cedar",amber | vanilla | powdery | sweet | aromatic,4.99,13661,
https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Oud-Satin-Mood-30352.html,Oud Satin Mood Maison Francis Kurkdjian for women and men,"Oud Satin Mood by Maison Francis Kurkdjian is a Oriental Woody fragrance for women and men. Oud Satin Mood was launched in 2015. The nose behind this fragrance is Francis Kurkdjian. Top notes are Bulgarian Rose, Violet and Strawberry; middle note is Turkish Rose; base notes are Agarwood (Oud), Vanilla, Amber, Benzoin, Caramel and Cedar.",Maison Francis Kurkdjian,2015,women and men,"Bulgarian Rose, Violet and Strawberry",,"Agarwood (Oud), Vanilla, Amber, Benzoin, Caramel and Cedar",rose | floral | oud | amber | vanilla,8.97,9572,
https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-Extrait-de-Parfum-46066.html,Baccarat Rouge 540 Extrait de Parfum Maison Francis Kurkdjian for women and men,"Baccarat Rouge 540 Extrait de Parfum by Maison Francis Kurkdjian is a Oriental Floral fragrance for women and men. Baccarat Rouge 540 Extrait de Parfum was launched in 2017. The nose behind this fragrance is Francis Kurkdjian. Top notes are Bitter Almond and Saffron; middle notes are Egyptian Jasmine and Virginia Cedar; base notes are Ambergris, Woody Notes, Musk, Ambroxan and Cashmeran.",Maison Francis Kurkdjian,2017,women and men,Bitter Almond and Saffron,Egyptian Jasmine and Virginia Cedar,"Ambergris, Woody Notes, Musk, Ambroxan and Cashmeran",amber | almond | warm spicy | woody | musky | animalic | nutty | fruity | metallic | white floral,9.97,10691,
https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Gentle-Fluidity-Gold-53401.html,Gentle Fluidity Gold Maison Francis Kurkdjian for women and men,,,,,,,,,,,
https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Gentle-Fluidity-Silver-53400.html,Gentle Fluidity Silver Maison Francis Kurkdjian for women and men,,,,,,,,aromatic | fresh spicy | woody | musky | powdery,,,
https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/724-75754.html,724 Maison Francis Kurkdjian for women and men,"724 by Maison Francis Kurkdjian is a fragrance for women and men. 724 was launched in 2022. The nose behind this fragrance is Francis Kurkdjian. Top notes are Aldehydes and Calabrian bergamot; middle notes are Egyptian Jasmine, Mock Orange and Sweet Pea; base notes are White Musk and Sandalwood.",Maison Francis Kurkdjian,2022,women and men,Aldehydes and Calabrian bergamot,"Egyptian Jasmine, Mock Orange and Sweet Pea",White Musk and Sandalwood,aldehydic | white floral | musky | citrus | fresh | powdery | floral | sweet | fresh spicy | woody,5.24,3277,
https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Kurky-103517.html,Kurky Maison Francis Kurkdjian for women and men,"Kurky by Maison Francis Kurkdjian is a Floral Fruity fragrance for women and men. This is a new fragrance. Kurky was launched in 2025. The nose behind this fragrance is Francis Kurkdjian. Top notes are Peach and Raspberry; middle notes are Gummy Candies, Fruity Notes, Rose and Hedione; base notes are White Musk, Vanilla, Cream, Rice, Sandalwood and Popcorn.",Maison Francis Kurkdjian,2025,women and men,Peach and Raspberry,"Gummy Candies, Fruity Notes, Rose and Hedione","White Musk, Vanilla, Cream, Rice, Sandalwood and Popcorn",fruity | sweet | musky | powdery | vanilla,0.14,1302,
https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Oud-Satin-Mood-Extrait-de-Parfum-48463.html,Oud Satin Mood Extrait de Parfum Maison Francis Kurkdjian for women and men,"Oud Satin Mood Extrait de Parfum by Maison Francis Kurkdjian is a Oriental Woody fragrance for women and men. Oud Satin Mood Extrait de Parfum was launched in 2017. The nose behind this fragrance is Francis Kurkdjian. Top notes are Violet, Geranium, Ceylon Cinnamon and Cardamom; middle notes are Damask Rose and Turkish Rose; base notes are Agarwood (Oud), Vanilla, Amber, Benzoin, Caramel, Musk and Cedar.",Maison Francis Kurkdjian,2017,women and men,"Violet, Geranium, Ceylon Cinnamon and Cardamom",Damask Rose and Turkish Rose,"Agarwood (Oud), Vanilla, Amber, Benzoin, Caramel, Musk and Cedar",oud | vanilla | powdery | amber | violet | rose | fresh spicy | warm spicy | floral | aromatic,1.49,2666,
https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Aqua-Media-Cologne-Forte-82030.html,Aqua Media Cologne Forte Maison Francis Kurkdjian for women and men,"Aqua Media Cologne Forte by Maison Francis Kurkdjian is a fragrance for women and men. Aqua Media Cologne Forte was launched in 2023. The nose behind this fragrance is Francis Kurkdjian. Top notes are Bergamot and Vervain; middle notes are Fennel and Hedione; base notes are Matcha Tea, Musk and Woodsy Notes.",Maison Francis Kurkdjian,2023,women and men,Bergamot and Vervain,Fennel and Hedione,"Matcha Tea, Musk and Woodsy Notes",citrus | fresh | green | soft spicy | powdery | floral | musky | fresh spicy | woody | anis,5.24,1803,
