url,nombre,descripcion,marca,anio,genero,top_notes,middle_notes,base_notes,accords,rating,votes,error
https://www.fragrantica.com/perfume/Tom-Ford/Tobacco-Vanille-1825.html,Tobacco Vanille Tom Ford for women and men,"Tobacco Vanille by Tom Ford is a Oriental Spicy fragrance for women and men. Tobacco Vanille was launched in 2007. The nose behind this fragrance is Olivier Gillotin. Top notes are Tobacco Leaf and Spicy Notes; middle notes are Vanilla, Cacao, Tonka Bean and Tobacco Blossom; base notes are Dried Fruits and Woody Notes.",Tom Ford,2007,women and men,Tobacco Leaf and Spicy Notes,"Vanilla, Cacao, Tonka Bean and Tobacco Blossom",Dried Fruits and Woody Notes,vanilla | sweet | tobacco | warm spicy | fruity | woody | cacao | powdery,7.99,29747,
https://www.fragrantica.com/perfume/Tom-Ford/Ombre-Leather-2018-50239.html,Ombré Leather (2018) Tom Ford for women and men,"Ombré Leather (2018) by Tom Ford is a Leather fragrance for women and men. Ombré Leather (2018) was launched in 2018. The nose behind this fragrance is Sonia Constant. Top note is Cardamom; middle notes are Leather and Jasmine Sambac; base notes are Amber, Moss and Patchouli.",Tom Ford,2018,women and men,,Leather and Jasmine Sambac,"Amber, Moss and Patchouli",leather | animalic | warm spicy | white floral | amber | smoky | earthy | mossy | patchouli,0.3,17040,
https://www.fragrantica.com/perfume/Tom-Ford/Lost-Cherry-51411.html,Lost Cherry Tom Ford for women and men,"Lost Cherry by Tom Ford is a Oriental Floral fragrance for women and men. Lost Cherry was launched in 2018. The nose behind this fragrance is Louise Turner. Top notes are Bitter Almond, Black Cherry and Cherry Liqueur; middle notes are Sour Cherry, Plum, Turkish Rose and Jasmine Sambac; base notes are Vanilla, Tonka Bean, Cinnamon, Peru Balsam, Sandalwood, Benzoin, Cloves, Cedar, Patchouli and Vetiver.",Tom Ford,2018,women and men,"Bitter Almond, Black Cherry and Cherry Liqueur","Sour Cherry, Plum, Turkish Rose and Jasmine Sambac","Vanilla, Tonka Bean, Cinnamon, Peru Balsam, Sandalwood, Benzoin, Cloves, Cedar, Patchouli and Vetiver",cherry | sweet | almond | nutty | fruity | vanilla | warm spicy | amber | woody | balsamic,8.97,16887,
https://www.fragrantica.com/perfume/Tom-Ford/Black-Orchid-1018.html,Black Orchid Tom Ford for women,"Black Orchid by Tom Ford is a Oriental Floral fragrance for women. Black Orchid was launched in 2006. Black Orchid was created by David Apel and Pierre Negrin. Top notes are Truffle, Gardenia, Black Currant, Ylang-Ylang, Jasmine, Bergamot, Mandarin Orange and Amalfi Lemon; middle notes are Orchid, Spices, Gardenia, Fruity Notes, Ylang-Ylang, Jasmine and Lotus; base notes are Mexican chocolate, Patchouli, Vanille, Incense, Amber, Sandalwood, Vetiver and White Musk.",Tom Ford,2006,women,"Truffle, Gardenia, Black Currant, Ylang-Ylang, Jasmine, Bergamot, Mandarin Orange and Amalfi Lemon","Orchid, Spices, Gardenia, Fruity Notes, Ylang-Ylang, Jasmine and Lotus","Mexican chocolate, Patchouli, Vanille, Incense, Amber, Sandalwood, Vetiver and White Musk",warm spicy | earthy | woody | sweet | amber | patchouli | floral | chocolate | powdery | balsamic,3.97,31333,
https://www.fragrantica.com/perfume/Tom-Ford/Oud-Wood-1826.html,Oud Wood Tom Ford for women and men,"Oud Wood by Tom Ford is a Oriental Woody fragrance for women and men. Oud Wood was launched in 2007. The nose behind this fragrance is Richard Herpin. The fragrance features Agarwood (Oud), Brazilian Rosewood, Cardamom, Sandalwood, Sichuan Pepper, Vanilla, Vetiver, Tonka Bean and Amber.",Tom Ford,2007,women and men,,,,woody | warm spicy | oud | aromatic | vanilla | balsamic | fresh spicy | amber | powdery | sweet,6.97,16624,
https://www.fragrantica.com/perfume/Tom-Ford/Noir-Extreme-29675.html,Noir Extreme Tom Ford for men,"Noir Extreme by Tom Ford is a Oriental Woody fragrance for men. Noir Extreme was launched in 2015. The nose behind this fragrance is Sonia Constant. Top notes are Cardamom, Nutmeg, Saffron, Mandarin Orange and Neroli; middle notes are Kulfi, Rose, Mastic or Lentisque, Orange Blossom and Jasmine; base notes are Vanilla, Amber, Woody Notes and Sandalwood.",Tom Ford,2015,men,"Cardamom, Nutmeg, Saffron, Mandarin Orange and Neroli","Kulfi, Rose, Mastic or Lentisque, Orange Blossom and Jasmine","Vanilla, Amber, Woody Notes and Sandalwood",warm spicy | sweet | vanilla | woody | powdery | amber | fresh spicy | aromatic | white floral | balsamic,3.99,12651,
https://www.fragrantica.com/perfume/Tom-Ford/Soleil-Blanc-34893.html,Soleil Blanc Tom Ford for women and men,"Soleil Blanc by Tom Ford is a Oriental Floral fragrance for women and men. Soleil Blanc was launched in 2016. The nose behind this fragrance is Natalie Gracia-Cetto. Top notes are Pistachio, Bergamot, Cardamom and Pink Pepper; middle notes are Tuberose, Ylang-Ylang and Jasmine; base notes are Coconut, Amber, Tonka Bean and Benzoin.",Tom Ford,2016,women and men,"Pistachio, Bergamot, Cardamom and Pink Pepper","Tuberose, Ylang-Ylang and Jasmine","Coconut, Amber, Tonka Bean and Benzoin",white floral | coconut | sweet | tuberose | amber | yellow floral | vanilla | woody | warm spicy | citrus,3.5,8348,
https://www.fragrantica.com/perfume/Tom-Ford/Fabulous-46513.html,Fabulous Tom Ford for women and men,"Fabulous by Tom Ford is a Leather fragrance for women and men. Fabulous was launched in 2017. Top notes are Lavender and Clary Sage; middle notes are Leather, Bitter Almond, Vanilla and Orris; base notes are Leather, Tonka Bean, Cashmeran, White Woods and Amber.",Tom Ford,2017,women and men,Lavender and Clary Sage,"Leather, Bitter Almond, Vanilla and Orris","Leather, Tonka Bean, Cashmeran, White Woods and Amber",aromatic | leather | vanilla | almond | woody | amber | lavender | sweet | powdery | animalic,8.97,9253,
https://www.fragrantica.com/perfume/Tom-Ford/Neroli-Portofino-12192.html,Neroli Portofino Tom Ford for women and men,"Neroli Portofino by Tom Ford is a Citrus Aromatic fragrance for women and men. Neroli Portofino was launched in 2011. The nose behind this fragrance is Rodrigo Flores-Roux. Top notes are Bergamot, Mandarin Orange, Lemon, Bitter Orange, Lavender, Rosemary and Myrtle; middle notes are African Orange Flower, Neroli, Jasmine and Pitosporum; base notes are Amber, Ambrette (Musk Mallow) and Angelica.",Tom Ford,2011,women and men,"Bergamot, Mandarin Orange, Lemon, Bitter Orange, Lavender, Rosemary and Myrtle","African Orange Flower, Neroli, Jasmine and Pitosporum","Amber, Ambrette (Musk Mallow) and Angelica",citrus | white floral | aromatic | fresh spicy | floral,6.97,8940,
https://www.fragrantica.com/perfume/Tom-Ford/Vanilla-88588.html,Vanilla Tom Ford for women and men,"Vanilla by Tom Ford is a Oriental Vanilla fragrance for women and men. Vanilla was launched in 2023. The fragrance features Indian Vanilla, Vanilla Absolute, Sandalwood, Animal notes, Orris Root and Jasmine.",Tom Ford,2023,women and men,,,,vanilla | powdery | woody | balsamic | sweet,3.97,4205,
