url,nombre,descripcion,marca,anio,genero,top_notes,middle_notes,base_notes,accords,rating,votes,error
https://www.fragrantica.com/perfume/Dolce-Gabbana/Devotion-84951.html,Devotion Dolce&Gabbana for women,"Devotion by Dolce&Gabbana is a Oriental Vanilla fragrance for women. Devotion was launched in 2023. The nose behind this fragrance is Olivier Cresp. Top note is Candied Lemon; middle notes are Panacotta, Orange Blossom and Rum; base note is Vanilla.",Dolce&Gabbana,2023,women,,"Panacotta, Orange Blossom and Rum",,vanilla | sweet | white floral | lactonic | powdery | rum | citrus,3.97,11274,
https://www.fragrantica.com/perfume/Dolce-Gabbana/Light-Blue-485.html,Light Blue Dolce&Gabbana for women,"Light Blue by Dolce&Gabbana is a Floral Fruity fragrance for women. Light Blue was launched in 2001. The nose behind this fragrance is Olivier Cresp. Top notes are Sicilian Lemon, Apple, Cedar and Bellflower; middle notes are Bamboo, Jasmine and White Rose; base notes are Cedar, Musk and Amber.",Dolce&Gabbana,2001,women,"Sicilian Lemon, Apple, Cedar and Bellflower","Bamboo, Jasmine and White Rose","Cedar, Musk and Amber",citrus | woody | fresh | fruity | aromatic | musky | powdery | green,2.97,35124,
https://www.fragrantica.com/perfume/Dolce-Gabbana/The-One-for-Men-Eau-de-Parfum-31909.html,The One for Men Eau de Parfum Dolce&Gabbana for men,"The One for Men Eau de Parfum by Dolce&Gabbana is a Woody Spicy fragrance for men. The One for Men Eau de Parfum was launched in 2015. The nose behind this fragrance is Olivier Polge. Top notes are Grapefruit, Coriander and Basil; middle notes are Cardamom, Ginger and Orange Blossom; base notes are Amber, Tobacco and Cedar.",Dolce&Gabbana,2015,men,"Grapefruit, Coriander and Basil","Cardamom, Ginger and Orange Blossom","Amber, Tobacco and Cedar",amber | tobacco | fresh spicy | citrus | aromatic | warm spicy | sweet | woody | white floral | fresh,4.54,15390,
https://www.fragrantica.com/perfume/Dolce-Gabbana/Light-Blue-Eau-Intense-Pour-Homme-44035.html,Light Blue Eau Intense Pour Homme Dolce&Gabbana for men,Light Blue Eau Intense Pour Homme by Dolce&Gabbana is a Woody Aquatic fragrance for men. Light Blue Eau Intense Pour Homme was launched in 2017. The nose behind this fragrance is Alberto Morillas. Top notes are Grapefruit and Mandarin Orange; middle notes are Sea water and Juniper; base notes are Musk and Amberwood.,Dolce&Gabbana,2017,men,Grapefruit and Mandarin Orange,Sea water and Juniper,Musk and Amberwood,citrus | aromatic | marine | fresh spicy | woody | salty | musky | aquatic | amber,2.99,10684,
https://www.fragrantica.com/perfume/Dolce-Gabbana/Devotion-Intense-96028.html,Devotion Intense Dolce&Gabbana for women,,,,,,,,vanilla | nutty | white floral | sweet | woody | citrus | powdery | soapy,,,
https://www.fragrantica.com/perfume/Dolce-Gabbana/Light-Blue-pour-Homme-1068.html,Light Blue pour Homme Dolce&Gabbana for men,,,,,,,,citrus | fresh spicy | aromatic | woody | Skip Ad,,,
https://www.fragrantica.com/perfume/Dolce-Gabbana/The-One-for-Men-2056.html,The One for Men Dolce&Gabbana for men,,,,,,,,amber | fresh spicy | tobacco | aromatic | citrus | sweet | warm spicy | woody,,,
https://www.fragrantica.com/perfume/Dolce-Gabbana/The-One-698.html,The One Dolce&Gabbana for women,,,,,,,,fruity | white floral | vanilla | powdery | sweet | amber | citrus | fresh,,,
https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-L-Imperatrice-3-6086.html,D&G Anthology L'Imperatrice 3 Dolce&Gabbana for women,,,,,,,,fruity | ozonic | aquatic | green | sweet | fresh | tropical | aromatic,,,
https://www.fragrantica.com/perfume/Dolce-Gabbana/Devotion-Pour-Homme-101353.html,Devotion Pour Homme Dolce&Gabbana for men,Devotion Pour Homme by Dolce&Gabbana is a Woody Spicy fragrance for men. This is a new fragrance. Devotion Pour Homme was launched in 2025. The nose behind this fragrance is Olivier Cresp. Top note is Lemon; middle note is Coffee; base note is Patchouli.,Dolce&Gabbana,2025,men,,,,coffee | warm spicy | citrus | patchouli | woody,4.59,1475,
https://www.fragrantica.com/perfume/Dolce-Gabbana/The-Only-One-51249.html,The Only One Dolce&Gabbana for women,"The Only One by Dolce&Gabbana is a Oriental Vanilla fragrance for women. The Only One was launched in 2018. Top notes are Violet, Orange and Bergamot; middle notes are Coffee, Pear, Iris, Orange Blossom and Rose; base notes are Caramel, Vanilla and Patchouli.",Dolce&Gabbana,2018,women,"Violet, Orange and Bergamot","Coffee, Pear, Iris, Orange Blossom and Rose","Caramel, Vanilla and Patchouli",caramel | sweet | powdery | vanilla | violet | coffee | citrus | warm spicy | iris | woody,2.99,6574,
https://www.fragrantica.com/perfume/Dolce-Gabbana/L-Imperatrice-Limited-Edition-63485.html,L'Imperatrice Limited Edition Dolce&Gabbana for women,"L'Imperatrice Limited Edition by Dolce&Gabbana is a Floral Fruity fragrance for women. L'Imperatrice Limited Edition was launched in 2020. The nose behind this fragrance is Nathalie Lorson. Top notes are Watermelon and Strawberry; middle notes are Pink Peony, Damask Rose, Magnolia and Cyclamen; base notes are Musk, Woody Notes, Sandalwood and Smoke.",Dolce&Gabbana,2020,women,Watermelon and Strawberry,"Pink Peony, Damask Rose, Magnolia and Cyclamen","Musk, Woody Notes, Sandalwood and Smoke",floral | ozonic | fruity | aquatic | rose | fresh | sweet | musky | woody | powdery,1.1,2689,
https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Gabbana-Pour-Homme-2012-15336.html,Dolce&Gabbana Pour Homme (2012) Dolce&Gabbana for men,"Dolce&Gabbana Pour Homme (2012) by Dolce&Gabbana is a Aromatic Fougere fragrance for men. Dolce&Gabbana Pour Homme (2012) was launched in 2012. Top notes are Citruses, Bergamot, Neroli and Mandarin Orange; middle notes are Lavender, Sage and Pepper; base notes are Tobacco, Tonka Bean and Cedar.",Dolce&Gabbana,2012,men,"Citruses, Bergamot, Neroli and Mandarin Orange","Lavender, Sage and Pepper","Tobacco, Tonka Bean and Cedar",citrus | fresh spicy | aromatic | lavender | tobacco | sweet | fresh | herbal | woody,2.3,5179,
https://www.fragrantica.com/perfume/Dolce-Gabbana/My-Devotion-Eau-de-Parfum-Intense-113886.html,My Devotion Eau de Parfum Intense Dolce&Gabbana for women,"My Devotion Eau de Parfum Intense by Dolce&Gabbana is a Floral Fruity fragrance for women. This is a new fragrance. My Devotion Eau de Parfum Intense was launched in 2025. The nose behind this fragrance is Olivier Cresp. Top notes are Pear Blossom and Blackcurrant; middle notes are Peony and Orange Blossom; base notes are Madagascar Vanilla, Ambroxan and Amberwood.",Dolce&Gabbana,2025,women,Pear Blossom and Blackcurrant,Peony and Orange Blossom,"Madagascar Vanilla, Ambroxan and Amberwood",floral | fresh | fruity | vanilla | amber | white floral | rose | woody,4.94,695,
https://www.fragrantica.com/perfume/Dolce-Gabbana/K-by-Dolce-Gabbana-Eau-de-Parfum-62311.html,K by Dolce & Gabbana Eau de Parfum Dolce&Gabbana for men,"K by Dolce & Gabbana Eau de Parfum by Dolce&Gabbana is a Woody Spicy fragrance for men. K by Dolce & Gabbana Eau de Parfum was launched in 2020. Top notes are Blood Orange, Juniper Berries, Pimento, Lemon, Sicilian Lemon and Cardamom; middle notes are Fig Nectar, Lavender, Geranium and Clary Sage; base notes are Cedar, Patchouli, Vetiver and Cypriol Oil or Nagarmotha.",Dolce & Gabbana Eau de Parfum by Dolce&Gabbana,2020,men,"Blood Orange, Juniper Berries, Pimento, Lemon, Sicilian Lemon and Cardamom","Fig Nectar, Lavender, Geranium and Clary Sage","Cedar, Patchouli, Vetiver and Cypriol Oil or Nagarmotha",aromatic | woody | citrus | fresh spicy | warm spicy | fruity | sweet | earthy | lavender,3.89,3337,
https://www.fragrantica.com/perfume/Dolce-Gabbana/Light-Blue-Eau-Intense-44034.html,Light Blue Eau Intense Dolce&Gabbana for women,Light Blue Eau Intense by Dolce&Gabbana is a Floral Fruity fragrance for women. Light Blue Eau Intense was launched in 2017. The nose behind this fragrance is Olivier Cresp. Top notes are Lemon and Granny Smith apple; middle notes are Jasmine and Marigold; base notes are Musk and Amberwood.,Dolce&Gabbana,2017,women,Lemon and Granny Smith apple,Jasmine and Marigold,Musk and Amberwood,citrus | musky | fresh | fruity | aromatic | amber | powdery | woody | white floral | green,2.59,5270,
